X,Y,Z,item,pagerank,chosen
19.447344,-13.576771,-2.9459786,graph theory,0.0002886997759998745,1.0
6.972898,-12.163721,4.639545,information theory,0.00018457981997001206,1.0
12.52203,-0.062092572,11.120381,claude shannon,0.0001727460192460222,1.0
-2.359442,-17.279266,-3.968427,data mining,9.145942067928083e-05,1.0
-19.311892,-13.41663,9.92051,chaos theory,8.345428540605453e-05,1.0
4.4997973,0.35849264,2.856619,control theory,8.918986665044396e-05,1.0
12.653063,19.235165,-1.8526185,quantum logic gate,0.0006501684155729331,1.0
-11.674408,-4.3316746,-14.179005,collective intelligence,6.098681170817919e-05,1.0
1.2931228,-28.044874,-0.16630898,operations research,0.00010565819864358853,1.0
22.639612,-7.15506,12.475262,low-density parity-check code,9.992447621021913e-05,1.0
-21.085484,18.216034,7.718145,remote sensing,0.0007274694924840454,1.0
-5.6156306,-0.3158638,-9.791358,simulated reality,6.098681170817919e-05,1.0
-8.594528,17.417229,-4.7639265,visual perception,0.0005060017217475599,0.0
-1.9362186,-0.37502784,-16.782452,cognitive science,9.331625851589204e-05,1.0
0.9944545,4.840975,24.125044,electromagnetic wave equation,0.00041891596086775863,1.0
-8.337816,-3.4079318,14.550404,fourier transform,0.00029390851400953454,1.0
-0.9967632,-15.811954,-17.66716,semantic web,9.823618941920352e-05,1.0
21.559258,3.3920805,-7.6389875,propositional calculus,0.00013864039347309228,0.0
13.183656,8.316833,0.011232322,false dilemma,0.0002798140164713883,1.0
6.4450274,-2.3074055,3.4790816,thermodynamic equilibrium,0.00021301877135163845,0.0
-22.56311,6.3942666,1.1185105,wearable computer,0.00021569456886539684,1.0
4.8385544,7.045021,-19.718334,empathy,6.78443620080671e-05,1.0
0.8380744,-21.72285,-9.1395445,analytics,0.0005625908078053184,1.0
6.5865855,13.598194,-3.2868543,philosophy of perception,0.00015167393931206724,1.0
-20.14751,2.9827335,6.040372,internet of things,0.0002715255303373122,0.0
-3.6182508,5.41512,-11.158264,cognitive psychology,0.0002827279866041836,0.0
-1.8422084,15.301349,3.0284956,psychoacoustics,0.0004450740005967031,1.0
9.874804,-1.2792559,22.024258,finite element method,0.0002897678031837059,0.0
-9.079646,3.8485215,-7.4500303,neural network,6.67145166490917e-05,0.0
-4.5259037,-5.590297,17.684902,system analysis,0.0005998964493294445,0.0
21.988722,4.1367545,-9.5763235,truth-functional propositional logic,0.0007409266271062077,0.0
-2.5631516,6.970719,-17.307585,embodied cognition,0.0008831230119575267,0.0
-7.2010307,2.6397345,2.109011,speech recognition,0.00020059430750253,0.0
-5.282505,16.920229,13.726851,graphics processing unit,0.00020368971776829327,0.0
-14.991365,11.283746,13.325577,3d computer graphics,8.717830387568163e-05,0.0
8.927342,13.138741,-19.194637,self-awareness,0.0006938903997215178,1.0
-13.292653,-17.665602,-13.437251,digital preservation,0.0004431105502897608,1.0
-5.1887083,16.710516,15.009611,gpu,0.00017741799248397779,0.0
10.958921,-9.459408,0.76974237,induction (philosophy),0.0002441271167766392,0.0
-11.182146,-1.3063145,-3.5436273,artificial intelligence,0.00013724196112736497,0.0
-8.371639,1.2592779,3.8673706,speech recognition software in healthcare,0.00012188242230117458,0.0
4.2648396,-5.0856833,-18.111753,computational linguistics,0.00014562548316062718,0.0
-19.71061,-7.973216,-7.7026744,openness,0.00015459504976116317,0.0
10.2816725,8.8721695,1.9083363,fuzzy logic,0.00031253097349094193,0.0
15.234156,-3.7228389,-19.259237,constructed language,0.0003376580980918535,1.0
2.8498056,14.223297,-13.144519,animal consciousness,0.0005903752205611727,0.0
-8.68321,3.5191126,-4.3077188,artificial neural network,4.2467908817432726e-05,0.0
-6.228351,-19.563555,16.61093,spatial dependence,0.0001921697368748496,1.0
-9.855112,7.722113,13.818293,computer-aided design,0.0002108222217190864,0.0
-14.985424,-9.034405,-18.356083,collaborative software,0.00019596707894081343,1.0
-8.459099,-15.47652,9.963031,principal components analysis,0.00026912301285114443,0.0
8.061847,-10.806972,-21.08784,natural-language processing,7.420270147615492e-05,1.0
2.2662244,15.179404,-1.2758433,senses,0.0004874602512992922,0.0
-13.630029,7.53436,-20.409466,noogenesis,0.000367726815212547,0.0
-10.823046,-13.69818,13.82957,correlation,0.0011919584932935873,1.0
-16.08225,-15.921144,-8.86187,data management,0.0006821165698085304,0.0
-10.76516,-1.8158345,-22.077127,spiral of silence,0.00011973313754561417,0.0
3.5561771,-2.5061622,-8.054791,problem shaping,6.651801466816533e-05,0.0
4.198111,-23.343359,8.733396,optimal control,0.0002379695880348283,0.0
8.162574,-10.816646,-19.934061,natural language processing,9.174966326033346e-05,0.0
0.52018446,0.01937478,-13.913812,artificial consciousness,0.00026086204222074865,0.0
-0.11785546,-4.842624,1.3258444,dynamical systems theory,0.00011514378258393295,0.0
4.5132685,-3.4285357,-6.612019,problem finding,0.0002859097191291046,0.0
-1.0850052,20.909256,-2.7496867,optical illusion,0.00024197607420420517,0.0
-13.327153,0.9031132,-7.753038,biologically inspired computing,8.861238807888825e-05,0.0
1.8053385,17.744408,-6.2344193,perception,0.00019666892591735846,0.0
-13.751336,-5.2931533,22.02369,superlens,4.170485048249372e-05,1.0
-22.11407,4.103744,-14.21839,transhumanism,0.000350642816381385,1.0
15.554126,11.281416,16.02612,ieee 754,0.0007675046536439216,0.0
-0.6558247,1.6759353,-2.4718888,cognitive architecture,6.651801466816533e-05,0.0
5.582013,11.717011,-9.653972,turing test,0.00021382378597363823,0.0
6.6501746,-26.93426,-1.9430612,decision theory,0.0002557619005261022,0.0
25.88693,5.591743,-0.4629384,boolean algebra (structure),0.00016425669321465746,0.0
9.069272,-1.8788887,16.631044,interval finite element,0.0003091981671705674,0.0
4.115607,10.941838,-16.530388,theory of mind,0.00031741308950649445,0.0
2.2514617,1.9142178,-22.792322,speech repetition,0.00010635061782313282,0.0
-14.141814,2.6849241,14.918025,3d printing,0.0008936620234402578,0.0
3.6458845,22.66862,-8.489506,gestalt psychology,4.233652867165292e-05,0.0
2.2828736,-6.6173077,-0.30412176,system dynamics,9.953241761908785e-05,0.0
-4.3998685,-8.666518,-26.444069,library,0.00013698073400412235,0.0
10.485511,14.892137,-7.839655,map–territory relation,0.00022854264976577995,0.0
-17.775219,-10.499816,-4.9702673,open data,0.000669728785218211,0.0
18.457077,-4.9065537,-11.202283,relational algebra,0.00017576083266873698,0.0
7.588971,-15.267279,-14.757056,natural-language programming,8.90540572855568e-05,0.0
-7.368182,0.46006614,-19.916267,collective effervescence,0.00021594573388887084,0.0
20.205671,-16.750298,6.94287,ising model,0.0006932092990676577,0.0
-6.1157107,-17.408003,3.4850986,cluster analysis,4.233652867165292e-05,0.0
-1.6883379,-24.373034,-6.2006826,web analytics,4.233652867165292e-05,0.0
21.100584,11.9048,3.1675801,logic gate,4.233652867165292e-05,0.0
-17.713295,4.9467683,-13.099041,meme,4.233652867165292e-05,0.0
-3.8298533,9.883542,-8.128037,brain–computer interface,0.0001278088991798083,0.0
5.4479437,-0.59574544,26.33574,space mapping,0.0012983015862913377,0.0
14.778231,9.271687,-3.600784,principle of bivalence,0.0004652619608360178,0.0
0.021584237,21.00868,-3.4802973,visual illusion,0.0004723891746506655,0.0
14.068082,9.175166,14.010638,floating point,0.00031687061258983234,0.0
15.118572,0.5216312,-18.170298,linguistics,0.00029721949721250374,0.0
-7.2634416,-3.3127117,-19.809258,crowd psychology,0.00012621126879041274,0.0
-18.849537,-0.2510445,1.615679,robotic mapping,0.0005360712465284898,0.0
19.492586,-0.53438675,-6.7901864,first-order logic,0.00015894874446213436,0.0
1.845978,-18.905357,8.589692,kalman filter,0.00014979975012301486,0.0
6.090141,14.677369,5.5119786,vision processing unit,6.63065017147007e-05,0.0
12.881121,-8.997052,-9.36917,siri (software),0.00020146015619550942,0.0
7.2055235,-0.34535685,-24.697697,language acquisition,0.00024448341898827223,0.0
-9.915014,2.1783028,-24.481855,group behaviour,0.00025645180526085034,0.0
5.9076967,4.5345817,-5.936129,mental model,0.0005922204085804537,0.0
18.984358,-3.6387882,3.1971843,logistic function,0.0001371361177054676,0.0
-1.0913254,26.681057,2.4354181,motion perception,0.00044810454532283366,0.0
-10.252512,10.7438965,-24.48798,ecology,0.000812149775335358,0.0
